line_item_id,deal_id,tipo_cobranca,valor,incremento,decremento,valor_liquido
5A22F821,DE772BC1-F,Implantação,10362.26,142.95,733.73,9771.48
5E0BCACF,4ADF185B-5,Implantação,37387.13,2780.49,1916.68,38250.94
4B838F5F,4ADF185B-5,Implantação,46156.23,1731.5,913.32,46974.41
98DE5134,4ADF185B-5,Licença,48112.63,742.58,3816.07,45039.14
97D6245D,663FDEF0-0,Setup,39807.93,5695.09,1941.96,43561.06
E1C1B35D,663FDEF0-0,Implantação,21475.0,2406.53,1752.13,22129.4
BE081D6E,663FDEF0-0,Suporte,5824.18,334.64,116.32,6042.5
79B0D9AC,FC5BB7AA-7,Licença,44945.79,5523.89,2019.88,48449.8
F8ED1F64,FC5BB7AA-7,MRR,47925.82,1819.24,1964.04,47781.02
F2068B81,FC5BB7AA-7,Suporte,41420.98,4008.09,3997.73,41431.34
C5D5BA74,DF587C6D-6,Implantação,1982.03,53.49,63.96,1971.56
08AAF94D,DF587C6D-6,Setup,18208.35,198.4,1196.21,17210.54
BDEF5850,DF587C6D-6,Licença,7679.46,362.22,7.4,8034.28
50D1D565,E5404766-A,Licença,11081.74,943.28,356.35,11668.67
A9EDEACC,C2372FCD-6,Suporte,3778.64,160.75,80.17,3859.22
866217D9,C2372FCD-6,Setup,5594.55,233.33,340.1,5487.78
833ED40A,0D007E6E-0,Suporte,44686.87,2827.0,3379.23,44134.64
0E48DF13,CDF3A797-5,Licença,10308.45,76.79,509.17,9876.07
6D6575B7,CDF3A797-5,MRR,49517.86,3128.82,614.48,52032.2
68B89360,CDF3A797-5,Setup,30270.82,2684.29,715.67,32239.44
341211CD,100163C2-C,Licença,1382.9,162.49,79.62,1465.77
1BFF68DC,8A8E5905-4,Implantação,14576.11,1840.18,587.14,15829.15
5A0425F4,F8FE3D93-4,Licença,32416.4,337.72,308.34,32445.78
E6F5D019,9CB3A489-9,Licença,14096.34,1593.65,564.34,15125.65
19131928,9CB3A489-9,Suporte,38843.37,2877.24,182.85,41537.76
C2E0518D,9CB3A489-9,Licença,34974.62,2384.82,2968.2,34391.24
1F511413,9CB3A489-9,MRR,42232.24,5940.2,433.91,47738.53
E870FE26,82AC0CA6-F,MRR,41360.1,860.71,4109.29,38111.52
9B5086A2,82AC0CA6-F,Implantação,11703.89,154.52,847.49,11010.92
D5FE390E,EB42579D-4,Suporte,49483.47,6933.45,4295.24,52121.68
E99815F4,EB42579D-4,Licença,44224.31,285.75,212.29,44297.77
9CDBA143,EB42579D-4,Licença,4214.59,208.2,258.25,4164.54
A329FFE1,5E1AD509-5,Licença,35083.91,4867.15,2046.98,37904.08
A8108647,5E1AD509-5,MRR,6751.29,872.84,508.4,7115.73
B3A1CB90,5E1AD509-5,Implantação,32026.73,3210.21,1671.04,33565.9
ADB082BA,5E1AD509-5,Setup,29105.29,2886.96,2841.69,29150.56
5D9FFB8B,78A6A1BB-6,Implantação,11678.61,462.14,345.96,11794.79
0C59D8FC,78A6A1BB-6,MRR,17973.98,2252.7,435.65,19791.03
56CCC65D,78A6A1BB-6,Setup,34900.77,393.39,1726.21,33567.95
97C8C044,E6AA4D74-6,MRR,33689.7,2365.78,1297.26,34758.22
64056A1E,E6AA4D74-6,Implantação,5674.47,177.61,335.09,5516.99
69C42F26,1FBE7CFF-4,Licença,35571.36,3496.43,3015.76,36052.03
CA2C7EEC,1FBE7CFF-4,MRR,45749.2,1501.38,1663.64,45586.94
23195812,1FBE7CFF-4,Implantação,43459.01,3347.2,3389.89,43416.32
C2BEF434,21924403-E,MRR,14253.0,351.04,437.78,14166.26
F9CE6387,21924403-E,Suporte,32594.96,720.14,2855.96,30459.14
79DD4A04,B5D68500-7,Setup,1321.1,91.32,35.24,1377.18
02457633,9ED73113-2,Suporte,22905.73,912.49,2123.2,21695.02
1173F4D7,9ED73113-2,MRR,18044.13,573.98,716.22,17901.89
B8B2832D,9ED73113-2,Implantação,25642.38,204.46,698.98,25147.86
586B76ED,9ED73113-2,MRR,2932.15,168.24,272.11,2828.28
E144AC73,A21A3E35-0,Licença,9877.76,261.73,272.55,9866.94
0397185C,A21A3E35-0,Suporte,24934.0,1621.58,1698.41,24857.17
3D249E92,82EB4887-9,MRR,11369.2,90.62,40.57,11419.25
6105F8AE,82EB4887-9,Licença,12318.97,983.3,339.34,12962.93
8CBF15AC,CAD2B9E7-1,Implantação,19947.83,657.94,1643.84,18961.93
A47E5029,CAD2B9E7-1,Licença,25011.0,641.64,509.16,25143.48
9835A53A,CAD2B9E7-1,Licença,35439.74,1530.88,11.01,36959.61
C7AB9023,CAD2B9E7-1,Setup,25410.39,2669.89,1211.46,26868.82
4D5C83CD,D690F493-9,Setup,8926.51,912.44,148.76,9690.19
A5E8D248,D690F493-9,Licença,45043.53,958.3,57.36,45944.47
4A64BD41,D690F493-9,Implantação,21682.17,67.74,2112.65,19637.26
FE619DA0,44933D41-A,Setup,34120.55,4366.18,2026.78,36459.95
095A6AD1,48797700-F,Suporte,549.82,72.02,25.98,595.86
179AA8FE,48797700-F,MRR,41036.86,3491.83,4064.34,40464.35
55C30DD2,48797700-F,Setup,26500.82,665.06,388.46,26777.42
BB447D2B,48797700-F,MRR,5449.63,657.14,182.93,5923.84
695049E8,A866723A-6,Licença,49494.76,1910.54,2407.89,48997.41
AB7BDE21,A866723A-6,Licença,23208.16,2881.58,698.88,25390.86
7D35ABAB,A866723A-6,Licença,44622.93,5184.24,3823.99,45983.18
6787E1BF,A866723A-6,Suporte,24475.56,991.03,1271.04,24195.55
157EDF6A,EA4331C2-D,Setup,48942.55,6286.17,3227.11,52001.61
2EFE8CE1,D28BA5D1-B,Licença,25142.7,921.61,1863.11,24201.2
0334E4FC,D28BA5D1-B,Implantação,18291.29,2042.31,354.56,19979.04
C8EC5C01,4B3733C1-9,MRR,48289.93,6353.58,3277.93,51365.58
F81D0606,4B3733C1-9,Implantação,49372.92,6488.29,863.79,54997.42
C01CD4A6,4B3733C1-9,Licença,44455.75,2607.5,1855.11,45208.14
8C139CC4,4B3733C1-9,Licença,15811.5,97.48,822.32,15086.66
CB2BB9B1,C0586E3F-D,Suporte,6586.58,785.78,373.24,6999.12
71177554,C0586E3F-D,Licença,14776.22,2148.77,737.23,16187.76
93DACA0C,C0586E3F-D,Setup,23582.71,531.42,2279.67,21834.46
47286F08,7F68BCD4-B,Licença,24597.83,238.41,724.96,24111.28
F08E4C4B,7F68BCD4-B,Implantação,2527.18,107.29,149.88,2484.59
EC53BC33,22FFA4E5-5,Implantação,15638.16,1009.42,1032.51,15615.07
CDAEFFA9,DE3F3F6C-8,MRR,12945.96,680.09,366.71,13259.34
9F2A8B3D,E4ED831F-5,MRR,35803.26,766.07,2624.57,33944.76
F640E743,E4ED831F-5,Implantação,29468.63,356.8,644.94,29180.49
69502917,80028FF7-2,Licença,12812.06,1303.95,494.85,13621.16
31A77C70,80028FF7-2,Implantação,48361.89,711.93,1263.51,47810.31
476D2E58,80028FF7-2,Licença,30053.42,781.25,1309.78,29524.89
DF7E7B99,80028FF7-2,Licença,40316.82,841.67,3094.96,38063.53
EAEE8658,0B186DD1-F,Setup,21107.46,631.71,643.77,21095.4
1897C9B7,0B186DD1-F,Licença,28549.92,2690.77,1558.34,29682.35
A53760A3,0B186DD1-F,Implantação,39229.08,4906.69,376.77,43759.0
3D1BD1B6,AFD5DF3B-0,Licença,25438.85,2614.46,909.59,27143.72
55D5D0B9,AFD5DF3B-0,Licença,21669.62,1366.83,889.01,22147.44
8EAA90BD,AFD5DF3B-0,MRR,45671.64,181.01,3501.96,42350.69
50B1C16C,AFD5DF3B-0,MRR,37914.89,3498.83,1146.51,40267.21
AC8A9512,AB16FFF9-B,Suporte,25854.24,493.59,1404.58,24943.25
F970E9F6,AB16FFF9-B,Suporte,43951.36,352.95,3714.36,40589.95
7E86CFB0,60294B91-2,Implantação,33668.92,2337.34,2568.92,33437.34
AF6BA632,60294B91-2,Suporte,23280.93,189.78,127.33,23343.38
365A3335,E7B0FDFC-F,Licença,29919.81,3688.84,1691.8,31916.85
31D9B4E7,0BD37B42-0,MRR,6511.41,571.0,332.62,6749.79
105A8E3E,0BD37B42-0,MRR,35227.85,2728.03,1979.98,35975.9
D5C99CBA,0BD37B42-0,Implantação,7251.94,973.63,463.88,7761.69
EB843456,791DA41D-F,Licença,31597.85,3408.5,2959.24,32047.11
4302F0F5,791DA41D-F,Implantação,31371.36,944.43,210.63,32105.16
927EC9C9,9DD853C9-D,Suporte,44055.0,3435.12,1089.07,46401.05
49A0E28C,9DD853C9-D,MRR,23950.25,2991.6,1062.95,25878.9
