empresa_id,nome_empresa,cnpj,segmento,porte,cidade,estado,data_criacao
2BD2BACE,da Luz Moura - EI,84.124.118/2449-00,Indústria,Grande,Cunha da Prata,SP,2026-05-08
A2F8DF9D,Silva das Neves - ME,53.487.401/6400-00,Varejo,Pequena,Macedo do Galho,PB,2023-12-06
93544373,Câmara Azevedo Ltda.,42.786.801/1280-00,Educação,Média,Pastor,PI,2024-05-24
1631ECC7,Abreu Barbosa e Filhos,98.262.045/0533-00,Logística,Pequena,da Conceição,AP,2023-07-20
3FFBACD2,Barbosa,58.692.322/6025-00,Educação,Média,da Mota,RO,2025-06-25
C8CD2C82,Nogueira Cardoso e Filhos,34.216.073/3754-00,Educação,Pequena,da Cruz de Viana,PR,2025-02-23
E179A851,Brito Brito e Filhos,30.365.414/5868-00,Varejo,Pequena,Fogaça das Pedras,PA,2025-05-27
7E995ADB,Rocha e Filhos,14.294.019/6556-00,Financeiro,Grande,Araújo,MG,2024-11-10
21F9BF28,da Cruz S.A.,16.934.060/8835-00,Saúde,Pequena,Nascimento,PB,2024-01-05
15E4AE09,Cirino,59.514.846/5648-00,Indústria,Pequena,Martins de Goiás,AP,2025-04-20
2346F93F,Aragão e Filhos,66.299.468/0443-00,Saúde,Grande,Borges,SP,2024-06-03
2CFF0E33,Jesus Mendonça - ME,95.777.387/2148-00,Logística,Grande,Guerra,AL,2024-02-12
250EC7C0,Abreu,95.134.332/0037-00,Financeiro,Pequena,da Luz dos Dourados,MA,2025-03-20
91A2E92D,Cassiano,76.936.763/2016-00,Indústria,Pequena,da Rocha,DF,2023-08-31
9758ED2C,Souza Ltda.,87.083.172/7889-00,Varejo,Média,Aragão,RJ,2025-06-11
CE87E7EA,Araújo Moraes S/A,98.687.277/4348-00,Saúde,Grande,Azevedo,RN,2023-09-15
C19F0F05,Guerra Campos - EI,34.714.345/5812-00,Indústria,Pequena,Pacheco,RN,2023-08-02
B055FECC,Leão e Filhos,62.316.658/7603-00,Educação,Média,da Luz do Oeste,RO,2024-10-02
2191A89F,da Luz Gonçalves S.A.,69.096.705/4668-00,Logística,Grande,Marques Alegre,SP,2023-09-22
3BE386AF,Marques - EI,89.373.467/0656-00,Logística,Pequena,Barbosa,PI,2024-04-28
CF86BBC8,Cardoso,72.980.699/0162-00,Educação,Média,Azevedo de Goiás,MS,2024-08-17
0EB798F6,Macedo Nogueira e Filhos,20.465.375/5646-00,Varejo,Pequena,Pimenta do Galho,AC,2026-04-04
CE107748,Ribeiro,70.805.310/0330-00,Financeiro,Pequena,Carvalho,GO,2023-11-28
081D6A22,Souza - EI,32.719.374/5299-00,Logística,Grande,da Mata,MA,2025-12-27
05976912,Silva Fernandes S.A.,12.419.049/6631-00,Financeiro,Grande,Montenegro do Amparo,GO,2023-08-19
09B6FB30,Porto - ME,31.491.905/8651-00,Financeiro,Grande,Aparecida do Sul,MT,2023-12-22
BE4580CF,Castro,50.671.657/2628-00,Logística,Média,Novaes de Santos,PA,2025-10-20
71168C7F,Camargo S/A,98.776.945/3147-00,Indústria,Média,Nogueira,AL,2024-12-26
8D98014F,Lopes Cardoso S/A,99.650.752/7354-00,Varejo,Média,Fonseca do Norte,MS,2024-04-23
3993A10A,Rios Caldeira Ltda.,94.808.313/6783-00,Logística,Média,Pinto Grande,ES,2024-02-09
340D6983,Jesus Alves S.A.,77.014.363/4957-00,Financeiro,Grande,Viana das Pedras,SE,2026-04-07
B06D7BA2,da Mata Castro e Filhos,56.855.744/4313-00,Varejo,Pequena,Garcia,AL,2025-06-02
6D067F2C,Costa Marques Ltda.,82.337.498/9413-00,Varejo,Pequena,Vieira de Goiás,ES,2023-07-08
B1D5295D,Guerra Farias Ltda.,52.408.240/0842-00,Logística,Média,Vargas,GO,2024-11-28
0690F4FB,Rocha,10.947.775/2047-00,Tecnologia,Pequena,Alves do Campo,GO,2024-03-05
AB8A179A,Andrade,67.190.229/4131-00,Financeiro,Média,Peixoto,PA,2024-11-20
AD09D08B,Lopes,99.938.677/4964-00,Financeiro,Grande,Gomes,RJ,2024-03-23
F0F7CBA0,Aparecida,09.133.412/3281-00,Indústria,Pequena,Abreu do Galho,SE,2025-09-15
5026A559,Fonseca Lopes S/A,67.974.034/4713-00,Varejo,Grande,Pinto Alegre,RO,2023-12-12
15D2C1B6,Montenegro,93.618.324/2102-00,Educação,Média,Rios das Pedras,MT,2025-02-16
190693B7,Novaes,99.471.746/4887-00,Saúde,Pequena,Correia,PA,2026-03-30
A8114FDD,Rocha,90.659.401/3990-00,Educação,Grande,Pimenta,RJ,2024-09-11
8EA0B8E0,Novaes,49.027.874/2967-00,Tecnologia,Média,da Rosa,MA,2024-04-23
96BC0D6D,Viana,56.551.256/7468-00,Tecnologia,Média,Martins dos Dourados,PB,2026-04-16
E10DE2E4,Moraes Melo e Filhos,15.451.680/8760-00,Indústria,Grande,Ribeiro,AP,2024-08-15
155D1530,Borges,59.770.348/2477-00,Tecnologia,Pequena,Rocha,MA,2024-05-15
A9C1B795,Casa Grande Alves S/A,93.248.086/1317-00,Tecnologia,Grande,Melo,RN,2023-09-23
B4F9271B,Leão,27.484.677/3782-00,Saúde,Pequena,Silva,RR,2025-01-18
C0CDF647,Guerra,98.214.658/4044-00,Educação,Grande,Casa Grande,RS,2026-05-05
55D5913C,Sá S/A,97.278.755/8867-00,Varejo,Pequena,Câmara da Serra,SE,2026-05-18
6FD00BCC,Aragão,39.636.057/6627-00,Tecnologia,Pequena,Campos,PB,2023-12-26
84D3FBF9,Rios,89.517.187/0262-00,Tecnologia,Média,Sá dos Dourados,RN,2025-07-25
26BD4132,Novaes,45.961.586/5780-00,Financeiro,Pequena,Castro de Souza,PR,2025-05-01
0A9DCD56,Sá,34.316.117/2400-00,Varejo,Pequena,Porto,GO,2025-08-19
E252C667,Pires,45.562.386/9222-00,Tecnologia,Grande,da Mota,PB,2023-09-30
E5B82B59,da Costa,69.379.237/4740-00,Educação,Média,Farias Alegre,PI,2023-10-05
3E6D8016,Cassiano da Conceição - ME,48.217.594/6474-00,Indústria,Média,Santos,DF,2023-09-09
2A632D57,Jesus,71.369.594/4064-00,Tecnologia,Grande,Nogueira dos Dourados,PA,2023-09-06
D02BDC69,Leão Gomes - EI,09.743.953/3942-00,Logística,Pequena,Teixeira,RJ,2025-01-12
BA97B2C4,Abreu,04.709.521/4562-00,Indústria,Pequena,da Rosa das Flores,TO,2025-03-13
DC440577,Mendonça Câmara Ltda.,85.884.247/4517-00,Tecnologia,Pequena,Mendonça do Sul,MG,2024-11-05
B714D0D7,Silveira,36.851.604/8175-00,Logística,Grande,Martins,BA,2026-01-23
A77106FC,Gonçalves - EI,49.651.370/9859-00,Indústria,Grande,Barros,RS,2025-03-28
3FD332C7,Martins Cirino S/A,17.461.200/4711-00,Indústria,Grande,Garcia Alegre,DF,2025-05-08
7A77C339,Fernandes,26.758.692/6179-00,Saúde,Média,da Mota das Pedras,GO,2023-10-07
ED136646,Almeida,05.377.351/5850-00,Saúde,Média,Ferreira,ES,2026-03-07
F7914921,Vasconcelos e Filhos,31.713.900/5329-00,Indústria,Pequena,Sá,AC,2024-06-20
5013BAAE,Almeida Pinto S.A.,83.933.529/0422-00,Financeiro,Média,Cardoso,PR,2026-04-06
40F38B8F,Nunes S.A.,21.020.539/5024-00,Tecnologia,Pequena,Sampaio de da Cunha,SP,2024-12-26
E4E2BA81,Pereira Pereira e Filhos,68.117.758/9178-00,Indústria,Grande,Vasconcelos,TO,2024-02-11
F1DD5D76,Caldeira,08.470.076/6177-00,Tecnologia,Pequena,das Neves,RJ,2026-04-19
ECBA0C96,Gonçalves,59.212.499/8569-00,Financeiro,Média,Barbosa,RJ,2026-05-09
73881171,Caldeira Sampaio Ltda.,78.961.183/6736-00,Varejo,Média,Vieira,RJ,2023-08-04
D9846E1E,Nascimento,66.156.545/2711-00,Educação,Pequena,Ribeiro da Praia,AP,2025-07-26
123B43D6,Albuquerque,16.152.809/8851-00,Saúde,Média,Mendonça do Campo,PA,2024-12-15
BBA4CF15,Santos,60.494.519/8327-00,Indústria,Pequena,Lopes,CE,2025-08-20
5EB47A29,Pimenta,58.514.936/8998-00,Tecnologia,Grande,Martins de Lopes,TO,2025-12-08
73515AF9,Duarte,40.244.550/2296-00,Tecnologia,Pequena,Borges,GO,2025-05-02
63239232,Sá Martins - EI,01.836.675/2545-00,Educação,Grande,Fernandes do Sul,PR,2024-10-18
B423A580,Mendonça Cunha Ltda.,91.022.901/4767-00,Financeiro,Média,Fernandes Paulista,RN,2026-05-26
0CB8182B,Novais,64.381.561/4978-00,Logística,Média,Moreira,DF,2023-10-12
F1C53C0E,Silveira Jesus - ME,03.690.034/3244-00,Varejo,Pequena,Sales,PR,2026-03-01
A81F0506,Machado,07.622.683/8851-00,Saúde,Grande,Borges,MA,2024-05-11
F3EB9BA8,Sales,06.071.596/9664-00,Tecnologia,Média,das Neves,RO,2025-11-21
13A4462F,Melo,05.297.516/1369-00,Saúde,Grande,Lima da Prata,MT,2024-11-29
BFAA86F5,da Mata,16.453.521/8188-00,Indústria,Média,da Cunha de Goiás,AM,2024-03-27
65E68BDA,Campos,52.312.432/9212-00,Educação,Grande,Correia,DF,2025-06-23
0A5A4D0E,Silveira,77.997.995/5271-00,Saúde,Média,Brito do Oeste,MA,2024-05-20
04A407CE,Cavalcanti,44.905.814/7700-00,Varejo,Média,Albuquerque da Prata,BA,2024-08-01
EAFD64D9,Aragão - EI,11.998.679/8079-00,Logística,Pequena,Sampaio Grande,RS,2025-07-03
4D96EE5E,Albuquerque - EI,59.782.071/5182-00,Tecnologia,Pequena,Melo do Amparo,PB,2024-11-12
6AF6B126,Aragão da Cunha - ME,77.889.255/4665-00,Logística,Grande,Azevedo,MG,2025-07-04
D2457A9D,Oliveira e Filhos,05.151.864/4925-00,Tecnologia,Grande,Cassiano,BA,2025-10-23
59B00779,Barros,25.462.914/8652-00,Logística,Grande,Campos,PI,2025-03-09
0567375A,Vasconcelos Moreira - ME,81.685.054/2357-00,Indústria,Pequena,Macedo de da Rosa,RJ,2025-03-29
03F23F4B,Nunes,22.141.888/0592-00,Financeiro,Média,Pimenta,SC,2023-11-03
7FC4FB9C,Pires Cunha Ltda.,22.292.706/5379-00,Varejo,Grande,Castro,ES,2024-02-27
F6F3DB72,Castro S/A,73.834.735/9774-00,Educação,Média,Machado do Amparo,MA,2023-07-22
A12932FE,da Paz Santos Ltda.,88.623.924/0758-00,Tecnologia,Grande,Barbosa de Rodrigues,ES,2024-07-16
E9481F1B,Lima Camargo - EI,81.412.478/2613-00,Educação,Média,Ramos,BA,2024-07-18
FEF365CF,Barbosa Araújo S.A.,50.606.853/6153-00,Tecnologia,Média,Peixoto Verde,MA,2025-04-14
E9C14CE5,Martins e Filhos,15.220.472/7790-00,Tecnologia,Pequena,Sampaio das Flores,GO,2025-07-18
ABFE031C,Macedo,43.289.861/4341-00,Tecnologia,Pequena,Peixoto,AL,2025-04-03
D19998B0,Pereira,69.711.798/0893-00,Logística,Pequena,Alves de Minas,ES,2026-04-14
9B5D5E36,Teixeira e Filhos,46.095.396/2185-00,Tecnologia,Grande,Oliveira do Norte,SP,2024-02-29
9232070A,Moreira,88.880.670/6540-00,Varejo,Pequena,da Mota de Cirino,RJ,2025-04-09
5B009506,Borges,53.195.205/8527-00,Logística,Média,Ferreira de Jesus,MT,2024-10-12
00CD3931,Castro Ltda.,22.170.430/3054-00,Financeiro,Média,Sales do Amparo,MA,2026-03-27
0F362584,Teixeira,87.403.450/5415-00,Saúde,Média,Marques,AP,2024-10-02
B3F84766,Duarte,76.527.758/4161-00,Saúde,Grande,Vargas,MG,2025-08-09
E8861361,Ribeiro - EI,28.451.154/4796-00,Indústria,Grande,Jesus de Aragão,DF,2025-08-15
E14A779C,Pinto,75.705.964/0165-00,Financeiro,Grande,Pires de Macedo,SP,2023-08-21
F2130614,da Mata Novaes S.A.,20.297.021/3556-00,Financeiro,Pequena,Macedo do Amparo,AM,2023-07-16
F8E3E9C3,Santos Castro Ltda.,92.755.719/2856-00,Varejo,Grande,Novaes,PA,2023-10-24
85FA5A07,Camargo Martins S/A,43.102.786/8144-00,Logística,Média,Monteiro,RR,2024-08-28
AB7C34F7,Leão,39.473.121/7271-00,Educação,Grande,Melo de da Cruz,PB,2025-10-05
D1202414,Gomes Correia - EI,55.188.442/2583-00,Tecnologia,Pequena,Azevedo,GO,2025-03-07
5282F636,Viana,23.705.895/7829-00,Tecnologia,Pequena,Abreu da Mata,SC,2024-09-07
98F57D6E,Cassiano,46.786.691/2517-00,Saúde,Grande,Nascimento de Mendes,MS,2024-10-30
125B5B13,Marques,85.289.226/8018-00,Indústria,Média,Correia de Goiás,RJ,2025-01-16
828BE249,Vasconcelos Jesus S/A,22.535.841/4384-00,Indústria,Grande,Souza do Amparo,RR,2025-01-14
796C49CA,Ribeiro,49.818.299/2299-00,Varejo,Grande,Monteiro,AL,2023-12-15
E9FA9418,Brito,00.109.439/6907-00,Logística,Grande,Brito de Moura,PB,2023-06-25
3D311D83,Jesus Rezende S.A.,44.736.471/0276-00,Saúde,Média,Melo,SE,2024-07-17
E55120A5,Pinto,35.925.556/2588-00,Tecnologia,Média,Rezende de Minas,MT,2026-04-14
5D8AAD64,Dias,37.147.321/0469-00,Saúde,Pequena,Nogueira de Andrade,RN,2023-09-16
77EA721E,Pires Rodrigues Ltda.,25.953.278/7747-00,Tecnologia,Pequena,Souza,AP,2025-04-06
E21D20A5,Teixeira e Filhos,68.733.950/0479-00,Educação,Grande,Macedo,CE,2026-05-15
1F7D8ED3,Alves,74.801.624/5650-00,Saúde,Pequena,Duarte,SE,2023-08-28
1C1B523F,Fogaça,98.358.416/8784-00,Educação,Grande,Lopes Grande,ES,2025-09-04
BB18AD55,Nunes,91.216.558/5239-00,Financeiro,Média,Cavalcante,CE,2023-10-02
0494E21C,Pinto,80.002.578/7298-00,Indústria,Média,Monteiro,RJ,2024-01-10
5A3233A0,Martins Porto Ltda.,95.269.495/8887-00,Logística,Grande,da Cunha de Rios,AC,2025-05-24
E087B7FC,Rocha,47.055.169/4097-00,Varejo,Grande,Barbosa,PB,2024-11-19
292D3B5B,Porto,99.309.728/9623-00,Tecnologia,Grande,Sales Paulista,PB,2024-09-13
17E69911,Gomes Mendes S/A,13.075.626/3689-00,Saúde,Grande,Garcia,RJ,2024-12-10
C7FAE7CD,Sampaio,02.838.578/6527-00,Financeiro,Média,Almeida das Flores,GO,2023-06-14
E6484C2D,Pereira e Filhos,85.497.334/8434-00,Educação,Média,da Paz de Vasconcelos,SE,2024-05-24
18B11F1A,Câmara,37.575.844/1986-00,Saúde,Média,Pinto,GO,2026-04-19
653DA870,Pires Brito e Filhos,24.041.574/7338-00,Varejo,Grande,das Neves,SE,2025-04-16
64B10843,Pacheco Ltda.,42.199.330/8330-00,Tecnologia,Média,Borges,MA,2024-10-21
8FD8F702,Cavalcanti,57.120.826/7734-00,Varejo,Média,Cardoso,SE,2025-09-16
4283A2A1,Moura,01.938.026/2067-00,Indústria,Grande,Cavalcante Paulista,TO,2025-06-19
063D6C77,Souza,40.049.915/4788-00,Saúde,Pequena,Camargo dos Dourados,AP,2024-01-06
44E554CB,Rocha Silveira e Filhos,87.431.527/4205-00,Educação,Média,Novais da Praia,AP,2025-02-03
88A2A8F8,da Luz - EI,93.296.685/1612-00,Indústria,Média,Marques,MS,2026-04-12
BE257CCE,Pacheco,53.046.374/5499-00,Tecnologia,Média,Porto da Praia,AM,2026-04-15
4DEAC070,Melo Alves - EI,53.017.426/8414-00,Varejo,Grande,Pimenta de Goiás,RS,2023-09-08
747C5FE6,Sampaio,33.272.795/6878-00,Educação,Grande,Rezende das Pedras,AM,2024-01-05
C7BEDB4D,Andrade Ltda.,33.918.785/1910-00,Educação,Grande,Camargo de Brito,ES,2025-09-14
D1DFBA49,Gomes Marques Ltda.,83.982.258/7139-00,Saúde,Pequena,Pastor Grande,PA,2026-03-15
5271D9CA,Mendonça - EI,87.072.867/9087-00,Logística,Média,da Mota do Norte,RR,2024-12-28
530D74E3,Macedo Macedo S.A.,06.403.910/6518-00,Tecnologia,Pequena,Brito da Praia,PI,2026-02-27
6055DD8F,Araújo,70.462.265/6766-00,Tecnologia,Grande,da Mota do Oeste,AM,2025-05-08
258375C9,Ribeiro S.A.,82.512.868/2300-00,Varejo,Média,Aragão,SE,2024-11-01
65DFF55B,Cardoso Viana - EI,86.863.375/2431-00,Tecnologia,Grande,Azevedo,TO,2025-10-09
D37CC67F,Pastor Cunha S.A.,69.033.119/0790-00,Indústria,Grande,Vasconcelos Grande,SE,2025-12-13
F1E38AB7,da Mota S.A.,06.738.302/8439-00,Varejo,Grande,Nogueira,GO,2024-02-28
358F2450,Ribeiro S/A,95.342.836/4408-00,Financeiro,Grande,Albuquerque,MS,2024-06-05
E3EEC0E1,Almeida,26.870.568/5662-00,Varejo,Média,da Luz,AL,2023-12-15
8D725814,Moura,28.733.427/0866-00,Financeiro,Grande,Souza,AP,2025-06-10
87762197,Vasconcelos,26.343.517/5183-00,Tecnologia,Média,Moraes Verde,AM,2025-05-04
33FA05AC,Pimenta Aparecida e Filhos,69.901.398/3735-00,Varejo,Pequena,Marques do Sul,AL,2025-06-15
E5E76FA6,Lima,33.173.936/3854-00,Saúde,Média,Mendonça,RR,2025-04-21
48642A3D,Barros Ltda.,85.445.877/1753-00,Varejo,Média,Azevedo,BA,2024-08-02
3CBA372A,Garcia,60.932.048/9964-00,Indústria,Pequena,Marques do Galho,RN,2025-03-31
0A460F9D,Vieira e Filhos,53.693.785/4777-00,Indústria,Grande,Rezende,RS,2025-10-05
71090C6E,Lopes Machado S.A.,52.287.280/8010-00,Educação,Pequena,Fernandes dos Dourados,MG,2025-03-09
364CD2EC,Dias - ME,62.312.038/7509-00,Logística,Grande,Rios Paulista,MS,2024-01-25
3BDE734F,Azevedo,97.700.886/0084-00,Financeiro,Média,Barros,AP,2025-04-02
40545E41,Souza e Filhos,08.621.182/3398-00,Varejo,Média,Cardoso da Prata,AL,2025-11-29
CE44DE1A,Rios,46.156.793/3410-00,Tecnologia,Média,Jesus,MS,2026-03-31
3E8B3878,Silveira,66.870.021/7659-00,Educação,Pequena,da Paz,RN,2024-09-29
6291F3E1,Caldeira,80.339.740/1489-00,Logística,Pequena,Cassiano,RO,2025-06-20
BF8D99BB,Caldeira Ferreira - EI,25.039.261/4293-00,Financeiro,Média,Camargo Paulista,RJ,2024-05-18
074919A8,Novais,85.621.850/1631-00,Varejo,Grande,Pereira,RO,2026-05-14
4E0DFAFD,Alves,99.650.477/3586-00,Saúde,Pequena,da Mata,RR,2024-09-23
97D23122,Ferreira,96.194.311/4262-00,Logística,Média,Cirino,BA,2025-10-28
EACF940B,Azevedo,55.110.475/4121-00,Indústria,Média,Sousa,RS,2023-07-19
B50791E2,Souza - EI,78.886.101/5819-00,Financeiro,Média,Garcia,PA,2025-05-06
F6A3D576,Castro,60.466.183/9826-00,Indústria,Pequena,das Neves Alegre,SP,2025-10-30
136ABA6F,Aragão S.A.,44.472.126/4647-00,Educação,Pequena,Sá,RN,2023-08-18
04FC3925,da Mata - ME,54.379.937/1240-00,Saúde,Média,Mendonça dos Dourados,PA,2024-07-30
E450BF36,Sá Moraes S/A,96.575.692/4593-00,Saúde,Média,Lopes do Campo,MA,2026-04-20
3F824596,Moura,26.547.935/6465-00,Tecnologia,Grande,Aparecida de Goiás,MG,2025-12-19
43FD42EB,Abreu S.A.,39.828.073/7416-00,Logística,Média,Cunha Grande,SP,2024-07-02
E3575942,Duarte,24.342.661/7979-00,Saúde,Grande,Abreu,PR,2025-03-31
7A81C4E3,Cardoso Garcia - EI,86.805.891/1352-00,Logística,Grande,Montenegro,PI,2026-04-04
2710521B,Barbosa,09.656.101/4388-00,Financeiro,Grande,Sousa do Norte,PA,2023-07-01
944574C6,Barbosa,93.756.798/2507-00,Tecnologia,Média,Oliveira das Pedras,RJ,2025-02-19
0313E25E,da Rocha,61.125.457/3875-00,Saúde,Pequena,Guerra,AC,2024-10-18
8DA571B6,Pinto Marques e Filhos,77.514.010/5123-00,Financeiro,Pequena,Borges das Pedras,AM,2024-06-13
80FF147A,Pastor,82.586.736/2266-00,Tecnologia,Grande,Moura de Minas,MG,2024-09-25
6FEED30D,Câmara,93.796.603/3419-00,Tecnologia,Grande,Vasconcelos da Serra,AP,2025-08-03
F6B87222,Moura - EI,25.537.147/8596-00,Financeiro,Média,Vasconcelos,MS,2024-11-28
1A0D9DD6,da Costa Caldeira S.A.,91.557.924/9912-00,Varejo,Pequena,Costa da Serra,RN,2024-01-25
3E9184C1,Cavalcanti e Filhos,34.125.286/6929-00,Saúde,Média,Martins de Sá,RJ,2025-11-18
FC66389E,Rodrigues,27.828.274/2257-00,Financeiro,Pequena,Pires Alegre,BA,2025-04-15
A7659693,Melo - ME,50.723.688/7676-00,Logística,Média,Vieira Paulista,RJ,2023-08-28
82B4894F,Montenegro,72.190.340/4384-00,Indústria,Média,das Neves,PB,2025-05-04
086BB693,Araújo Ltda.,97.881.914/8580-00,Educação,Grande,Barbosa de Minas,RN,2025-12-10
5B5E0A94,Martins,78.361.340/7451-00,Saúde,Pequena,Machado,SE,2025-11-06
2F855BA7,Duarte Pereira - ME,33.959.629/2330-00,Financeiro,Média,Araújo,PB,2023-11-09
1171D2F8,Silva,84.982.544/9481-00,Indústria,Média,Montenegro,RS,2024-02-25
6141C60B,da Cruz e Filhos,04.223.253/6729-00,Logística,Média,Macedo de Moura,PE,2026-01-04
FE660962,Fonseca Freitas Ltda.,66.711.684/5775-00,Financeiro,Pequena,Jesus Alegre,RO,2025-12-16
43E95568,Vieira e Filhos,17.518.636/3745-00,Educação,Média,Azevedo Alegre,AM,2025-10-15
BB80B671,da Paz,58.929.750/0170-00,Tecnologia,Pequena,Silveira Grande,MT,2023-10-06
FDA0820A,Ferreira das Neves e Filhos,77.063.242/4154-00,Tecnologia,Média,Cardoso de Minas,MA,2025-10-17
CA607380,Ramos,20.643.611/0371-00,Indústria,Grande,Cardoso do Galho,AP,2026-03-01
1499D5D5,Moraes,38.700.516/2713-00,Saúde,Pequena,Almeida da Praia,MA,2024-03-08
F1BAE541,Fernandes Vargas - ME,11.554.262/2189-00,Tecnologia,Grande,Câmara,BA,2024-01-28
DAB7368B,da Rocha S/A,27.532.697/3112-00,Educação,Pequena,Ribeiro,MT,2026-01-17
179A419C,Peixoto Garcia S.A.,96.565.234/1389-00,Financeiro,Grande,Cirino,TO,2026-05-13
9DAB14E0,Silveira Macedo S/A,94.043.898/3640-00,Educação,Pequena,Fonseca de Goiás,PB,2026-01-05
B0E94619,Sá,76.137.918/0552-00,Saúde,Grande,da Conceição de Nascimento,ES,2024-09-24
03736618,Correia,65.827.109/1043-00,Tecnologia,Pequena,Rocha Verde,PB,2025-05-19
F4F029A5,Vasconcelos,68.486.661/8892-00,Varejo,Pequena,Montenegro do Galho,PA,2024-02-08
5C85C6DB,Pereira Carvalho Ltda.,41.832.856/9146-00,Logística,Pequena,Ramos,PR,2024-12-29
B0234779,Silva - EI,03.161.799/0421-00,Tecnologia,Grande,da Paz,AP,2024-02-06
A018E4DD,Machado,20.275.884/2524-00,Logística,Pequena,Lopes,AP,2024-05-11
9C4ADCE3,Ferreira,05.648.149/1778-00,Varejo,Pequena,Leão,AL,2025-02-06
B8994D0D,da Costa,79.252.419/1380-00,Tecnologia,Pequena,Barros da Praia,ES,2023-07-15
93E2E7C6,Brito,30.756.220/8635-00,Indústria,Média,Vieira Grande,BA,2023-07-31
99E63C6C,Melo,54.195.180/2380-00,Saúde,Pequena,Teixeira,RR,2025-05-30
7B7329A2,Pimenta,74.451.870/5349-00,Educação,Média,Barros,AC,2024-07-03
F40C38B0,Cassiano Novaes e Filhos,93.759.738/3206-00,Tecnologia,Pequena,Camargo da Mata,ES,2024-09-11
17160B62,Aragão S.A.,85.050.641/3836-00,Saúde,Pequena,Porto dos Dourados,AP,2023-11-21
033C492A,Peixoto,24.103.865/7191-00,Financeiro,Pequena,Pires,PE,2025-11-11
06DCB309,Silva Casa Grande Ltda.,61.990.623/4456-00,Logística,Grande,Abreu da Praia,ES,2025-11-04
9A76F711,Cirino,55.743.132/9121-00,Indústria,Média,Moura,MS,2023-09-15
CDABD7E0,Gomes - ME,75.618.537/4741-00,Tecnologia,Pequena,Porto,MG,2025-01-01
43568F75,Souza,49.035.213/5680-00,Logística,Média,Fogaça,SE,2023-09-14
0D73F4C4,da Costa,42.067.883/1712-00,Tecnologia,Pequena,Vargas,RJ,2024-10-30
93E754EA,Aparecida Fogaça - EI,03.236.519/9410-00,Tecnologia,Pequena,Ramos da Serra,TO,2026-04-30
1A913C89,Sampaio,72.151.070/2966-00,Saúde,Pequena,Pires de Cirino,SE,2023-12-28
F88C5216,Silva - ME,66.253.244/7209-00,Financeiro,Grande,da Rocha,DF,2023-08-09
2AF4CA37,Aparecida Dias Ltda.,34.768.701/4626-00,Indústria,Grande,Nogueira do Amparo,GO,2023-07-28
